Delta, Time Used, Result
0.006,1.789,True
0.006,1.609,True
0.005,2.98,True
0.005,2.08,True
0.005,2.199,True
0.005,2.66,True
0.005,2.11,True
0.005,2.26,True
0.006,1.75,True
0.005,2.62,True
0.005,1.839,True
0.006,1.359,True
0.005,2.55,True
0.005,2.489,True
0.005,2.39,True
0.005,2.899,True
0.005,2.76,True
0.005,2.439,True
0.005,2.1,True
0.005,2.119,True
0.005,2.13,True
0.005,2.75,True
0.005,2.589,True
0.005,2.53,True
0.005,2.31,True
0.007,1.23,True
0.005,2.909,True
0.005,2.079,True
0.005,2.82,True
0.005,2.17,True
0.005,1.789,True
0.009,0.71,True
0.005,2.619,True
0.006,1.82,True
0.007,1.229,True
0.005,1.83,True
0.005,3.279,True
0.006,1.98,True
0.007,1.42,True
0.005,3.269,True
0.005,2.03,True
0.005,2.2,True
0.007,1.26,True
0.005,2.1,True
0.006,1.849,True
0.007,1.35,True
0.006,1.899,True
0.005,2.64,True
0.005,2.71,True
0.005,2.459,True
0.005,2.329,True
0.005,2.18,True
0.005,1.969,True
0.005,1.939,True
0.005,2.109,True
0.007,1.209,True
0.005,2.66,True
0.005,2.549,True
0.005,2.509,True
0.006,2.01,True
0.005,2.299,True
0.005,2.31,True
0.005,2.55,True
0.005,2.34,True
0.005,2.909,True
0.006,1.689,True
0.005,3.24,True
0.006,1.88,True
0.005,2.229,True
0.007,1.379,True
0.005,2.89,True
0.005,2.699,True
0.005,2.29,True
0.006,1.969,True
0.006,1.77,True
0.005,2.729,True
0.006,1.99,True
0.005,2.559,True
0.005,2.33,True
0.005,2.169,True
0.005,1.92,True
0.007,1.319,True
0.005,2.89,True
0.005,2.609,True
0.005,2.39,True
0.005,2.52,True
0.005,2.579,True
0.007,1.25,True
0.005,2.379,True
0.005,2.15,True
0.006,1.75,True
0.005,2.469,False
0.005,3.25,True
0.006,2.03,True
0.006,1.86,True
0.007,1.299,True
0.006,1.83,True
0.005,2.43,True
0.005,2.039,True
0.007,1.259,True
0.005,2.46,True
0.005,2.34,True
0.005,1.929,True
0.005,2.28,True
0.006,1.62,True
0.005,1.939,True
0.006,1.689,True
0.006,1.44,True
0.006,1.979,True
0.005,2.689,True
0.006,1.43,True
0.006,1.31,True
0.005,2.369,True
0.005,2.29,True
0.005,2.62,True
0.006,1.949,True
0.005,2.75,True
0.005,2.61,True
0.005,2.409,True
0.005,2.38,True
0.005,3.069,True
0.006,1.529,True
0.005,2.379,True
0.005,1.93,True
0.006,1.569,True
0.005,2.25,True
0.007,1.41,True
0.005,2.41,True
0.005,2.489,False
0.005,2.5,True
0.006,1.53,True
0.005,2.289,True
0.007,1.16,True
0.005,2.73,True
0.005,3.139,True
0.006,1.86,True
0.005,2.06,True
0.005,1.979,False
0.008,0.91,True
0.008,0.889,True
0.005,2.759,True
0.005,2.56,True
0.006,1.75,True
0.005,3.36,True
0.007,1.199,True
0.007,1.329,True
0.006,1.91,True
0.006,1.379,True
0.006,1.629,True
0.005,2.319,True
0.005,2.06,True
0.005,2.719,True
0.005,2.37,True
0.005,2.629,True
0.007,1.3,True
0.005,2.49,True
0.005,2.42,True
0.008,1.06,True
0.006,1.639,True
0.005,2.36,True
0.007,1.209,True
0.005,2.24,True
0.009,0.899,True
0.005,2.109,True
0.005,2.319,True
0.006,1.74,False
0.007,1.379,True
0.005,2.67,False
0.007,1.139,True
0.008,0.95,True
0.005,2.869,True
0.006,1.81,True
0.006,1.74,True
0.005,2.09,True
0.005,2.509,True
0.006,1.6,True
0.005,2.419,True
0.005,2.67,True
0.006,1.68,True
0.005,2.73,True
0.006,1.86,True
0.007,1.169,True
0.005,2.36,True
0.006,1.55,True
0.006,1.6,True
0.005,2.409,True
0.005,2.759,True
0.006,1.73,True
0.006,1.769,False
0.008,0.9,True
0.006,2.079,True
0.005,3.4,True
0.005,2.639,True
0.009,0.769,True
0.007,1.06,True
0.005,2.67,True
0.005,2.56,True
0.005,2.48,True
0.006,1.68,True
0.005,3.329,True
0.005,2.959,True
0.005,2.9,True
0.005,2.539,True
0.006,1.98,True
0.005,2.68,True
0.005,2.75,False
0.005,2.93,True
0.005,2.099,True
0.007,1.36,False
0.005,2.68,True
0.007,1.5,True
0.005,2.62,True
0.005,2.54,True
0.006,1.49,True
0.005,2.5,False
0.005,2.629,True
0.005,2.429,True
0.008,0.95,True
0.006,1.459,True
0.005,2.829,True
0.009,0.72,True
0.005,2.61,True
0.005,2.149,True
0.005,2.43,True
0.007,1.1,True
0.005,2.009,True
0.005,1.92,True
0.006,1.859,True
0.008,0.96,True
0.005,2.269,True
0.006,1.79,True
0.005,2.399,True
0.008,0.899,True
0.005,2.23,True
0.005,2.889,True
0.007,1.12,True
0.006,1.99,True
0.005,2.17,True
0.005,1.949,True
0.005,1.97,True
0.005,2.079,True
0.005,2.129,True
0.005,2.31,True
0.005,2.799,True
0.005,3.37,True
0.005,3.2,True
0.006,1.779,True
0.005,1.94,True
0.006,1.74,True
0.005,2.169,True
0.005,2.72,True
0.005,2.419,True
0.005,1.87,True
0.005,2.14,True
0.005,1.949,True
0.006,1.58,True
0.005,2.569,True
0.005,1.84,True
0.008,1.11,True
0.005,2.46,True
0.005,2.36,True
0.005,2.449,True
0.005,2.129,True
0.009,0.8,True
0.005,1.929,True
0.006,1.71,True
0.007,1.1,True
0.005,2.599,True
0.005,2.18,True
0.005,2.22,True
0.005,2.079,True
0.005,2.45,False
0.005,2.519,True
0.005,2.83,True
0.005,2.139,True
0.005,2.23,True
0.005,2.759,True
0.005,2.649,True
0.005,2.12,True
0.005,2.409,True
0.005,2.24,True
0.005,2.28,True
0.005,2.669,True
0.006,1.919,True
0.005,2.629,True
0.005,2.25,True
0.006,1.87,True
0.005,2.9,True
0.005,2.419,True
0.005,2.399,True
0.006,1.889,True
0.005,2.5,True
0.005,2.62,True
0.005,2.72,True
0.007,1.11,True
0.005,2.07,True
0.005,2.079,True
0.006,1.759,True
0.008,1.0,True
0.005,2.6,True
0.005,2.6,True
0.005,2.889,True
0.005,2.32,True
0.005,2.819,True
0.006,1.6,True
0.005,2.47,True
0.005,2.61,True
0.006,1.829,True
0.005,2.47,True
0.005,2.539,True
0.005,2.25,True
0.005,1.88,True
0.005,2.279,True
0.005,2.399,True
0.005,2.399,True
0.009,0.83,True
0.005,2.689,False
0.006,1.58,True
0.006,2.12,True
0.005,2.1,True
0.005,2.809,True
0.009,0.75,True
0.005,3.1,True
0.005,2.129,True
0.005,2.19,True
0.005,2.24,True
0.005,2.409,True
0.007,1.11,True
0.005,2.269,True
0.007,1.309,True
0.005,2.52,True
0.005,2.609,True
0.008,0.98,True
0.005,2.12,True
0.005,2.55,True
0.005,2.309,True
0.005,2.18,True
0.005,2.589,True
0.005,2.11,True
0.006,1.649,True
0.006,1.94,True
0.005,2.429,True
0.005,2.45,True
0.005,2.24,True
0.005,2.85,True
0.005,2.649,True
0.006,1.81,True
0.005,2.609,True
0.005,2.65,True
0.008,1.089,True
0.006,1.99,True
0.005,2.42,True
0.006,1.99,True
0.005,2.409,True
0.005,2.169,True
0.005,2.6,True
0.005,2.059,True
0.005,2.76,True
0.005,2.559,True
0.005,2.279,True
0.006,2.03,True
0.007,1.469,True
0.007,1.33,True
0.005,2.129,True
0.005,2.539,True
0.005,2.41,True
0.006,1.799,True
0.006,1.73,True
0.005,2.57,True
0.007,1.189,True
0.005,2.279,True
0.005,2.699,True
0.005,2.82,True
0.005,2.35,True
0.005,2.25,True
0.005,2.279,True
0.005,2.12,True
0.006,1.759,True
0.005,2.289,True
0.006,1.899,True
0.006,1.46,True
0.005,2.36,True
0.005,2.659,True
0.005,2.5,True
0.005,2.269,True
0.005,2.45,True
0.005,2.62,True
0.006,1.509,True
0.007,1.45,True
0.005,2.329,True
0.005,2.4,True
0.006,1.779,True
0.005,2.24,True
0.005,2.37,True
0.005,1.779,True
0.005,2.7,True
0.008,1.039,True
0.006,1.509,True
0.005,2.21,True
0.005,2.569,True
0.006,1.759,True
0.005,2.89,True
0.005,2.029,True
0.005,2.539,True
0.008,1.139,False
0.007,1.21,True
0.008,1.11,True
0.006,1.75,True
0.006,1.47,True
0.006,1.579,True
0.005,2.029,True
0.005,2.7,True
0.005,2.519,True
0.005,2.57,True
0.006,1.449,True
0.006,1.66,True
0.005,2.209,True
0.006,1.82,True
0.006,1.7,True
0.006,1.709,True
0.005,2.24,True
0.005,2.639,True
0.005,2.24,True
0.005,2.56,True
0.005,2.629,True
0.006,1.809,True
0.005,2.62,True
0.005,1.92,True
0.008,0.949,True
0.005,2.17,True
0.008,0.939,True
0.005,2.289,True
0.005,2.27,True
0.006,1.709,False
0.006,2.11,True
0.006,1.62,True
0.005,2.59,True
0.005,2.419,True
0.005,2.629,True
0.01,0.589,True
0.005,2.019,True
0.005,2.55,True
0.005,2.669,True
0.006,2.029,True
0.005,2.219,True
0.007,1.29,True
0.006,1.939,True
0.006,2.039,True
0.005,2.46,True
0.006,1.85,True
0.007,1.429,True
0.005,2.54,True
0.005,2.519,True
0.006,1.75,True
0.005,2.11,True
0.005,2.169,True
0.007,1.23,True
0.007,1.23,True
0.006,2.179,True
0.005,2.8,True
0.006,1.929,True
0.005,2.25,True
0.007,1.429,True
0.005,2.09,True
0.005,2.129,True
0.005,3.06,True
0.005,3.139,True
0.005,2.22,True
0.005,2.129,True
0.005,3.0,True
0.005,2.48,True
0.006,1.87,True
0.005,2.439,True
0.006,1.639,True
0.005,2.68,True
0.005,2.25,True
0.005,2.859,True
0.005,2.45,True
0.006,1.61,True
0.005,2.23,True
0.005,2.949,True
0.007,1.259,True
0.005,2.66,True
0.005,3.289,True
0.006,2.25,True
0.005,2.38,True
0.007,1.689,True
0.006,1.75,True
0.005,2.34,True
0.005,2.549,False
0.006,1.369,True
0.005,2.21,True
0.006,1.88,True
0.005,2.629,True
0.008,1.06,True
0.005,2.359,True
0.005,2.539,True
0.005,3.09,True
0.008,0.939,True
0.005,2.37,True
